日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-08-06,'300270,中威电子,8.15,8.15,7.77,7.77,7.41,0.74,9.9865,2.4563,7437769,59788079.65,2467869128.2,2467869128.2
2019-08-05,'300270,中威电子,7.41,7.41,6.84,6.84,6.74,0.67,9.9407,1.7366,5258593,38488621.43,2243792667.48,2243792667.48
2019-08-02,'300270,中威电子,6.74,6.81,6.65,6.75,6.98,-0.24,-3.4384,1.2875,3898534,26218581.44,2040912628.72,2040912628.72
2019-08-01,'300270,中威电子,6.98,7.14,6.87,7.06,7.05,-0.07,-0.9929,1.7213,5212156,36464907.32,2113586075.44,2113586075.44
2019-07-31,'300270,中威电子,7.05,7.22,6.7,6.71,6.85,0.2,2.9197,2.1556,6527415,45946435.15,2134782497.4,2134782497.4
2019-07-30,'300270,中威电子,6.85,6.93,6.76,6.85,6.76,0.09,1.3314,0.8154,2469188,16931938.86,2074221291.8,2074221291.8
2019-07-29,'300270,中威电子,6.76,6.85,6.7,6.8,6.76,0.0,0.0,0.6611,2001837,13556318.65,2046968749.28,2046968749.28
2019-07-26,'300270,中威电子,6.76,6.84,6.71,6.82,6.8,-0.04,-0.5882,0.6498,1967740,13309969.4,2046968749.28,2046968749.28
2019-07-25,'300270,中威电子,6.8,6.95,6.72,6.75,6.7,0.1,1.4925,1.0305,3120471,21275968.23,2059080990.4,2059080990.4
2019-07-24,'300270,中威电子,6.7,6.83,6.62,6.62,6.58,0.12,1.8237,1.1331,3431104,23123016.68,2028800387.6,2028800387.6
2019-07-23,'300270,中威电子,6.58,6.59,6.45,6.45,6.48,0.1,1.5432,0.8551,2589406,16912876.74,1992463664.24,1992463664.24
2019-07-22,'300270,中威电子,6.48,6.87,6.42,6.87,6.8,-0.32,-4.7059,1.1274,3413696,22311010.47,1962183061.44,1962183061.44
2019-07-19,'300270,中威电子,6.8,6.94,6.78,6.85,6.81,-0.01,-0.1468,0.9791,2964764,20275992.88,2059080990.4,2059080990.4
2019-07-18,'300270,中威电子,6.81,7.01,6.78,7.01,7.03,-0.22,-3.1294,1.1455,3468602,23792424.51,2062109050.68,2062109050.68
2019-07-17,'300270,中威电子,7.03,7.2,6.96,7.19,7.15,-0.12,-1.6783,1.9756,5982297,42367195.69,2128726376.84,2128726376.84
2019-07-16,'300270,中威电子,7.15,7.41,7.15,7.39,7.34,-0.19,-2.5886,1.1752,3558661,25740201.05,2165063100.2,2165063100.2
2019-07-15,'300270,中威电子,7.34,7.44,7.11,7.33,7.44,-0.1,-1.3441,0.8153,2468862,17975894.84,2222596245.52,2222596245.52
2019-07-12,'300270,中威电子,7.44,7.5,7.34,7.38,7.45,-0.01,-0.1342,0.4475,1355060,10056070.74,2252876848.32,2252876848.32
2019-07-11,'300270,中威电子,7.45,7.53,7.38,7.47,7.42,0.03,0.4043,0.5143,1557362,11595831.26,2255904908.6,2255904908.6
2019-07-10,'300270,中威电子,7.42,7.57,7.31,7.42,7.4,0.02,0.2703,0.6266,1897273,14190612.82,2246820727.76,2246820727.76
2019-07-09,'300270,中威电子,7.4,7.49,7.29,7.32,7.33,0.07,0.955,0.6691,2026169,15000775.41,2240764607.2,2240764607.2
2019-07-08,'300270,中威电子,7.33,7.79,7.22,7.7,7.73,-0.4,-5.1746,1.001,3031154,22647314.87,2219568185.24,2219568185.24
2019-07-05,'300270,中威电子,7.73,7.85,7.57,7.73,7.65,0.08,1.0458,0.6376,1930560,14855130.99,2340690596.44,2340690596.44
2019-07-04,'300270,中威电子,7.65,7.81,7.56,7.75,7.73,-0.08,-1.0349,0.5602,1696262,12986980.43,2316466114.2,2316466114.2
2019-07-03,'300270,中威电子,7.73,7.9,7.65,7.87,7.92,-0.19,-2.399,0.7029,2128449,16439783.38,2340690596.44,2340690596.44
2019-07-02,'300270,中威电子,7.92,7.95,7.8,7.86,7.86,0.06,0.7634,0.8172,2474509,19515736.3,2398223741.76,2398223741.76
2019-07-01,'300270,中威电子,7.86,7.95,7.7,7.71,7.59,0.27,3.5573,1.4849,4496342,35308710.49,2380055380.08,2380055380.08
2019-06-28,'300270,中威电子,7.59,7.72,7.47,7.67,7.72,-0.13,-1.6839,0.9258,2803456,21240101.29,2298297752.52,2298297752.52
2019-06-27,'300270,中威电子,7.72,7.85,7.58,7.79,7.71,0.01,0.1297,1.4185,4295421,33010991.7,2337662536.16,2337662536.16
2019-06-26,'300270,中威电子,7.71,7.88,7.63,7.77,7.73,-0.02,-0.2587,0.7225,2187845,16961973.63,2334634475.88,2334634475.88
2019-06-25,'300270,中威电子,7.73,7.89,7.67,7.78,7.8,-0.07,-0.8974,1.1462,3470829,26906089.16,2340690596.44,2340690596.44
2019-06-24,'300270,中威电子,7.8,7.99,7.73,7.91,7.91,-0.11,-1.3906,1.5626,4731705,37089317.02,2361887018.4,2361887018.4
